Month,ROC,State
Oct 2020,705.8709677419355,ID
Nov 2020,1229.5333333333333,ID
Dec 2020,1217.6129032258063,ID
Jan 2020,0.0,MT
Feb 2020,0.0,MT
Mar 2020,10.210526315789474,MT
Apr 2020,7.766666666666667,MT
May 2020,2.032258064516129,MT
Jun 2020,14.933333333333334,MT
Jul 2020,95.51612903225806,MT
Aug 2020,108.35483870967742,MT
Sept 2020,188.43333333333334,MT
Oct 2020,618.5483870967741,MT
Nov 2020,958.7,MT
Dec 2020,592.8064516129032,MT
Jan 2020,0.0,WV
Feb 2020,0.0,WV
Mar 2020,10.733333333333333,WV
Apr 2020,31.166666666666668,WV
May 2020,27.677419354838708,WV
Jun 2020,29.2,WV
Jul 2020,118.16129032258064,WV
Aug 2020,113.38709677419355,WV
Sept 2020,178.03333333333333,WV
Oct 2020,272.1290322580645,WV
Nov 2020,765.3,WV
Dec 2020,1177.9354838709678,WV
